Time [s],Channel 6,Channel 7
1.747478813,0,1
1.747553250,1,0
1.748115313,0,0
1.763737375,0,1
1.763811813,1,0
1.764373750,0,0
1.779538188,0,1
1.779612625,1,0
1.780174688,0,0
1.795641875,0,1
1.795716313,1,0
1.796278250,0,0
1.811346000,0,1
1.811420375,1,0
1.811982438,0,0
1.827241313,0,1
1.827315750,1,0
1.827877813,0,0
1.844315688,0,1
1.844390125,1,0
1.844952062,0,0
1.859760750,0,1
1.859835250,1,0
1.860397250,0,0
1.875412938,0,1
1.875487375,1,0
1.876049437,0,0
1.891238625,0,1
1.891313063,1,0
1.891875125,0,0
1.907420375,0,1
1.907494813,1,0
1.908056813,0,0
1.923636813,0,1
1.923711250,1,0
1.924273313,0,0
1.939280063,0,1
1.939354500,1,0
1.939916563,0,0
1.955314375,0,1
1.955388813,1,0
1.955951063,0,0
1.971330875,0,1
1.971405313,1,0
1.971967438,0,0
1.987260938,0,1
1.987335375,1,0
1.987897625,0,0
2.003355625,0,1
2.003430063,1,0
2.003992250,0,0
2.019294313,0,1
2.019368750,1,0
2.019930813,0,0
2.035251563,0,1
2.035326000,1,0
2.035887938,0,0
2.051293125,0,1
2.051367563,1,0
2.051929563,0,0
2.067604938,0,1
2.067679375,1,0
2.068241375,0,0
2.083317813,0,1
2.083392250,1,0
2.083954375,0,0
2.099257625,0,1
2.099332063,1,0
2.099894125,0,0
2.115533563,0,1
2.115608000,1,0
2.116170000,0,0
2.131351813,0,1
2.131426250,1,0
2.131988250,0,0
2.147325250,0,1
2.147399688,1,0
2.147961750,0,0
2.163904813,0,1
2.163979250,1,0
2.164541313,0,0
2.179591813,0,1
2.179666250,1,0
2.180228313,0,0
2.195756063,0,1
2.195830500,1,0
2.196392438,0,0
2.211244500,0,1
2.211318938,1,0
2.211881000,0,0
2.227494313,0,1
2.227568750,1,0
2.228130688,0,0
2.243260625,0,1
2.243335063,1,0
2.243897125,0,0
2.259242563,0,1
2.259317000,1,0
2.259879000,0,0
2.275285313,0,1
2.275359688,1,0
2.275921813,0,0
2.291432250,0,1
2.291506688,1,0
2.292068625,0,0
2.307353500,0,1
2.307427875,1,0
2.307989875,0,0
2.323535063,0,1
2.323609500,1,0
2.324171500,0,0
2.339551875,0,1
2.339626313,1,0
2.340188438,0,0
2.355429750,0,1
2.355504188,1,0
2.356066188,0,0
2.371628687,0,1
2.371703125,1,0
2.372265188,0,0
2.387922063,0,1
2.387996438,1,1
2.387996500,1,0
2.388558500,0,0
2.403341000,0,1
2.403415438,1,0
2.403977688,0,0
2.419409813,0,1
2.419484250,1,0
2.420046375,0,0
2.435513313,0,1
2.435587750,1,0
2.436149813,0,0
2.451660313,0,1
2.451734750,1,0
2.452296875,0,0
2.467260313,0,1
2.467334750,1,0
2.467896813,0,0
2.483381313,0,1
2.483455750,1,0
2.484017938,0,0
2.499285125,0,1
2.499359563,1,0
2.499921688,0,0
2.515284500,0,1
2.515358938,1,0
2.515921063,0,0
2.531388063,0,1
2.531462500,1,0
2.532024750,0,0
2.547474188,0,1
2.547548625,1,0
2.548110625,0,0
2.563317250,0,1
2.563391688,1,0
2.563953750,0,0
2.579360063,0,1
2.579434500,1,0
2.579996500,0,0
2.595489500,0,1
2.595563938,1,0
2.596125938,0,0
2.611315375,0,1
2.611389813,1,0
2.611951875,0,0
2.627236563,0,1
2.627311000,1,0
2.627873063,0,0
2.643531000,0,1
2.643605438,1,0
2.644167563,0,0
2.659278750,0,1
2.659353188,1,0
2.659915125,0,0
2.675390938,0,1
2.675465375,1,0
2.676027625,0,0
2.691416250,0,1
2.691490688,1,0
2.692052813,0,0
2.707589313,0,1
2.707663750,1,0
2.708225813,0,0
2.723294750,0,1
2.723369187,1,0
2.723931250,0,0
2.739371000,0,1
2.739445438,1,0
2.740007250,0,0
2.755405000,0,1
2.755479438,1,0
2.756041438,0,0
2.771266813,0,1
2.771341187,1,0
2.771903250,0,0
2.787274813,0,1
2.787349250,1,0
2.787911313,0,0
2.803437875,0,1
2.803512313,1,0
2.804074625,0,0
2.819230125,0,1
2.819304563,1,0
2.819866688,0,0
2.835368313,0,1
2.835442750,1,0
2.836004750,0,0
2.851272375,0,1
2.851346813,1,0
2.851908813,0,0
2.867289000,0,1
2.867363438,1,0
2.867925563,0,0
2.883218938,0,1
2.883293375,1,0
2.883855437,0,0
2.899365750,0,1
2.899440188,1,0
2.900002063,0,0
2.915365250,0,1
2.915439625,1,0
2.916001563,0,0
2.931225750,0,1
2.931300188,1,0
2.931862250,0,0
2.947381250,0,1
2.947455688,1,0
2.948017750,0,0
2.963476125,0,1
2.963550563,1,0
2.964112563,0,0
2.979623063,0,1
2.979697500,1,0
2.980259438,0,0
2.995492313,0,1
2.995566750,1,0
2.996128750,0,0
3.011370000,0,1
3.011444375,1,0
3.012006438,0,0
3.027456125,0,1
3.027530562,1,0
3.028092500,0,0
3.043559813,0,1
3.043634250,1,0
3.044196188,0,0
3.059359500,0,1
3.059433938,1,0
3.059996000,0,0
3.075332813,0,1
3.075407188,1,0
3.075969313,0,0
3.091410188,0,1
3.091484625,1,0
3.092046813,0,0
3.107296813,0,1
3.107371250,1,0
3.107933250,0,0
3.123469813,0,1
3.123544188,1,1
3.123544250,1,0
3.124106313,0,0
3.139304188,0,1
3.139378625,1,0
3.139940875,0,0
3.155286312,0,1
3.155360750,1,0
3.155923000,0,0
3.171268188,0,1
3.171342563,1,0
3.171904500,0,0
3.187640875,0,1
3.187715250,1,0
3.188277500,0,0
3.203344937,0,1
3.203419375,1,0
3.203981313,0,0
3.219457375,0,1
3.219531875,1,0
3.220094062,0,0
3.235257000,0,1
3.235331438,1,0
3.235893563,0,0
3.251256313,0,1
3.251330750,1,0
3.251892938,0,0
3.267238250,0,1
3.267312688,1,0
3.267874625,0,0
3.283663000,0,1
3.283737438,1,0
3.284299562,0,0
3.299271688,0,1
3.299346063,1,0
3.299908063,0,0
3.315401375,0,1
3.315475813,1,0
3.316038188,0,0
3.331331250,0,1
3.331405688,1,0
3.331967938,0,0
3.347279688,0,1
3.347354125,1,0
3.347916188,0,0
3.363235750,0,1
3.363310188,1,0
3.363872250,0,0
3.379304438,0,1
3.379378875,1,0
3.379940938,0,0
3.395398125,0,1
3.395472563,1,0
3.396034563,0,0
3.411225125,0,1
3.411299563,1,0
3.411861625,0,0
3.427285188,0,1
3.427359625,1,0
3.427921438,0,0
3.443543750,0,1
3.443618188,1,0
3.444180250,0,0
3.459370688,0,1
3.459445125,1,0
3.460007125,0,0
3.475222500,0,1
3.475296938,1,0
3.475859000,0,0
3.491352125,0,1
3.491426563,1,0
3.491988563,0,0
3.507238562,0,1
3.507313000,1,0
3.507874875,0,0
3.523523250,0,1
3.523597688,1,0
3.524159688,0,0
3.539341500,0,1
3.539415938,1,0
3.539977938,0,0
3.555366938,0,1
3.555441375,1,0
3.556003500,0,0
3.571244875,0,1
3.571319313,1,0
3.571881250,0,0
3.587443750,0,1
3.587518188,1,0
3.588080188,0,0
3.603295625,0,1
3.603370125,1,0
3.603932125,0,0
3.619242813,0,1
3.619317250,1,0
3.619879125,0,0
3.635224813,0,1
3.635299250,1,0
3.635861188,0,0
3.651380563,0,1
3.651455000,1,0
3.652017063,0,0
3.667405875,0,1
3.667480313,1,0
3.668042375,0,0
3.683413875,0,1
3.683488313,1,0
3.684050375,0,0
3.699465375,0,1
3.699539813,1,0
3.700101875,0,0
3.715291063,0,1
3.715365563,1,0
3.715927563,0,0
3.731273125,0,1
3.731347563,1,0
3.731909563,0,0
3.747333188,0,1
3.747407625,1,0
3.747969625,0,0
3.763532313,0,1
3.763606750,1,0
3.764168938,0,0
3.779236438,0,1
3.779310813,1,0
3.779873063,0,0
3.795461563,0,1
3.795536000,1,0
3.796098063,0,0
3.811374000,0,1
3.811448438,1,0
3.812010438,0,0
3.827373438,0,1
3.827447875,1,0
3.828009875,0,0
3.843242563,0,1
3.843317000,1,0
3.843879062,0,0
3.859328750,0,1
3.859403188,1,0
3.859965125,0,0
3.875362813,0,1
3.875437250,1,0
3.875999250,0,0
3.891379625,0,1
3.891454063,1,0
3.892016063,0,0
3.907717500,0,1
3.907791937,1,0
3.908353938,0,0
3.923248000,0,1
3.923322438,1,0
3.923884563,0,0
3.939238688,0,1
3.939313125,1,0
3.939875188,0,0
3.955437750,0,1
3.955512188,1,0
3.956074250,0,0
3.971280875,0,1
3.971355313,1,0
3.971917313,0,0
3.987358375,0,1
3.987432813,1,0
3.987994750,0,0
4.003220063,0,1
4.003294500,1,0
4.003856688,0,0
4.019522125,0,1
4.019596563,1,0
4.020158750,0,0
4.035373813,0,1
4.035448250,1,0
4.036010313,0,0
4.051287688,0,1
4.051362125,1,0
4.051924313,0,0
4.067356500,0,1
4.067430875,1,0
4.067992875,0,0
4.083242875,0,1
4.083317313,1,0
4.083879313,0,0
4.099320375,0,1
4.099394813,1,0
4.099956813,0,0
4.115337188,0,1
4.115411625,1,0
4.115973750,0,0
4.131440687,0,1
4.131515125,1,0
4.132077063,0,0
4.147275063,0,1
4.147349500,1,0
4.147911563,0,0
4.163265750,0,1
4.163340188,1,0
4.163902250,0,0
4.179325875,0,1
4.179400250,1,0
4.179962375,0,0
4.195264438,0,1
4.195338812,1,0
4.195900875,0,0
4.211255125,0,1
4.211329500,1,0
4.211891625,0,0
4.227436875,0,1
4.227511312,1,0
4.228073563,0,0
